"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1960735787135459577","Wed Aug 27 16:06:55 +0000 2025","9",".︎ ݁˖ Today's Read Sore: Istri dari Masa Depan ️ Suryana Paramita 180 halaman iKalSel ╰┈ 27 Agustus 2025 ᯓ Rate: ⭐⭐⭐⭐️ (4.5/5) https://t.co/3QaRqJdflC","1960735787135459577","https://pbs.twimg.com/media/GzXuyNJa4AEXkaO.jpg","","in","","1","0","0","https://x.com/undefined/status/1960735787135459577","1910275096406892544",
"1960715317606232463","Wed Aug 27 14:45:34 +0000 2025","2","Hahahaha Mau diulang berapa kali pun kayaknya aku bakalan tetap memilih kamu-Sore Istri Dari Masa Depan ","1960715317606232463","","","in","","1","0","0","https://x.com/undefined/status/1960715317606232463","1877928220479373312",
"1960712359003000924","Wed Aug 27 14:33:49 +0000 2025","0","Masih open ya update harga terbaru voucher B1G1 promo Cinepolis: 1 voc harga 12k/voc Ready jg akun cinepolis 2k/akun 1 paket voc b1g1 + akun cine 13 5k Sore Istri Dari Masa Depan Weapons Tinggal Meninggal Nobody 2 La tahzan Merah Putih One For All Demon Slayer #zonauang","1960712359003000924","","","in","","0","0","0","https://x.com/undefined/status/1960712359003000924","1216253475505360896",
"1960397555403006341","Wed Aug 27 13:26:55 +0000 2025","0","@sqwzdrive Sore Istri Dari Masa Depan 2025 Movie","1960695524056817790","","sqwzdrive","in","","0","0","0","https://x.com/undefined/status/1960695524056817790","1104009103",
"1960686634325664006","Wed Aug 27 13:17:24 +0000 2025","0","@Yoimiyes_ malem soalnya kalo sore istri kamu dari masa depan","1960693129612329305","","Yoimiyes_","in","","0","1","0","https://x.com/undefined/status/1960693129612329305","1953311449",
"1960667553262657793","Wed Aug 27 11:35:46 +0000 2025","0","Update harga terbaru voucher B1G1 promo Cinepolis: 1 voc harga 12k/voc Ready jg akun cinepolis 2k/akun 1 paket voc b1g1 + akun cine 13 5k Sore Istri Dari Masa Depan Weapons Tinggal Meninggal Nobody 2 La tahzan Merah Putih One For All Demon Slayer KNY #zonauang","1960667553262657793","","","in","","0","0","0","https://x.com/undefined/status/1960667553262657793","1216253475505360896",
"1960659546357293494","Wed Aug 27 11:03:57 +0000 2025","0","Hai aku sore. Istri kamu dari masa depan https://t.co/JLNWdjpM7u","1960659546357293494","https://pbs.twimg.com/media/GzWpdQEbYAEpUBP.jpg","","in","","0","3","0","https://x.com/undefined/status/1960659546357293494","1247103925590749184",
"1960634606522393051","Wed Aug 27 09:24:51 +0000 2025","8","woy plis siapa yg tau au mora yg judulnya sore istri dari masa depan atau pacar dari masa depan di situ raisa suka sama mohan trus kasih nama olen pokoknya dia suka banget sm mohan tapi mohan cuek ke raisa krn dia ada konflik keluarga gitu","1960634606522393051","","","in","","0","3","1","https://x.com/undefined/status/1960634606522393051","1931842254303600640",
"1960619677316734978","Wed Aug 27 08:25:32 +0000 2025","0","Dah open yuk update harga terbaru voucher B1G1 promo Cinepolis: 1 voc harga 12k/voc Ready jg akun cinepolis 2k/akun 1 paket voc b1g1 + akun cine 13 5k Sore Istri Dari Masa Depan Weapons Tinggal Meninggal Nobody 2 La tahzan Merah Putih One For All Demon Slayer #zonauang","1960619677316734978","","","in","","0","0","0","https://x.com/undefined/status/1960619677316734978","1216253475505360896",
"1960595577739034922","Wed Aug 27 06:49:46 +0000 2025","0","Open terus yuk update harga terbaru voucher B1G1 promo Cinepolis: 1 voc harga 12k/voc Ready jg akun cinepolis 2k/akun 1 paket voc b1g1 + akun cine 13 5k Sore Istri Dari Masa Depan Weapons Tinggal Meninggal Nobody 2 La tahzan Merah Putih One For All Demon Slayer #zonauang","1960595577739034922","","","in","","0","0","0","https://x.com/undefined/status/1960595577739034922","1216253475505360896",
"1960574329403662392","Wed Aug 27 05:25:20 +0000 2025","0","Ready trs yuk update harga terbaru voucher B1G1 promo Cinepolis: 1 voc harga 12k/voc Ready jg akun cinepolis 2k/akun 1 paket voc b1g1 + akun cine 13 5k Sore Istri Dari Masa Depan Weapons Tinggal Meninggal Nobody 2 La tahzan Merah Putih One For All Demon Slayer #zonauang","1960574329403662392","","","in","","0","0","0","https://x.com/undefined/status/1960574329403662392","1216253475505360896",
"1960570055474753844","Wed Aug 27 05:08:21 +0000 2025","0","Jadi juga tulisan review film Sore Istri dari Masa Depan. Ini reviewnya lbh ke perspektif refleksi ke perjalanan hidup pribadi juga memahami alur Sore yg jutaan kali melintasi waktu. Yuk mampir https://t.co/BMSfrXvnoy","1960570055474753844","","","in","","0","0","0","https://x.com/undefined/status/1960570055474753844","77976338",
